,model_type,hidden_channels,dropout,best_val_acc,test_loss,test_acc,test_f1,train_time_sec
0,gcn,16,0.0,0.7105263157894737,0.5953806513234189,0.6842105263157895,0.8064516129032258,0.9150915145874023
1,gcn,16,0.01,0.7368421052631579,0.59261921832436,0.6842105263157895,0.793103448275862,0.7044928073883057
2,gcn,16,0.05,0.7368421052631579,0.5911936226644015,0.6578947368421053,0.7868852459016393,0.9304122924804688
3,gcn,16,0.1,0.7368421052631579,0.6063622110768369,0.6842105263157895,0.793103448275862,0.9434261322021484
4,gcn,16,0.25,0.7368421052631579,0.5856641342765406,0.6842105263157895,0.7999999999999999,1.0207502841949463
5,gcn,16,0.5,0.7368421052631579,0.596747570916226,0.6842105263157895,0.8064516129032258,0.8571677207946777
6,gcn,32,0.0,0.7368421052631579,0.5868080634819833,0.6842105263157895,0.793103448275862,0.7438671588897705
7,gcn,32,0.01,0.7368421052631579,0.5882269896959004,0.6842105263157895,0.7999999999999999,0.7587816715240479
8,gcn,32,0.05,0.7368421052631579,0.5914298892021179,0.6842105263157895,0.8064516129032258,0.7465980052947998
9,gcn,32,0.1,0.7368421052631579,0.592488357895299,0.6578947368421053,0.7868852459016393,0.6659810543060303
10,gcn,32,0.25,0.7105263157894737,0.5822288613570364,0.7105263157894737,0.8070175438596492,0.7977926731109619
11,gcn,32,0.5,0.7368421052631579,0.6068841658140484,0.7105263157894737,0.8135593220338982,0.8575296401977539
12,gcn,64,0.0,0.7368421052631579,0.5881500840187073,0.6842105263157895,0.7999999999999999,0.7558043003082275
13,gcn,64,0.01,0.7368421052631579,0.5936484493707356,0.6842105263157895,0.7999999999999999,0.7802324295043945
14,gcn,64,0.05,0.7368421052631579,0.5927350615200243,0.7105263157894737,0.8135593220338982,0.8602120876312256
15,gcn,64,0.1,0.7105263157894737,0.6021539851238853,0.6842105263157895,0.7857142857142856,0.942410945892334
16,gcn,64,0.25,0.7105263157894737,0.578122804039403,0.6842105263157895,0.7857142857142856,0.8393492698669434
17,gcn,64,0.5,0.7368421052631579,0.6094512625744468,0.6842105263157895,0.7999999999999999,0.9261798858642578
18,gcn,128,0.0,0.7368421052631579,0.5886421736917997,0.6842105263157895,0.7999999999999999,0.7418949604034424
19,gcn,128,0.01,0.7105263157894737,0.5905692263653404,0.6842105263157895,0.8064516129032258,0.9485552310943604
20,gcn,128,0.05,0.7368421052631579,0.5992570864526849,0.6842105263157895,0.8064516129032258,0.847564697265625
21,gcn,128,0.1,0.7368421052631579,0.5878101995116786,0.6842105263157895,0.7999999999999999,0.8525331020355225
22,gcn,128,0.25,0.7368421052631579,0.602175097716482,0.6842105263157895,0.7999999999999999,0.9748260974884033
23,gcn,128,0.5,0.7368421052631579,0.5894684822935807,0.6842105263157895,0.8064516129032258,0.868779182434082
24,gcn,256,0.0,0.7368421052631579,0.5977187721352828,0.6842105263157895,0.7999999999999999,1.0074775218963623
25,gcn,256,0.01,0.7368421052631579,0.6001126640721371,0.7105263157894737,0.819672131147541,0.9831628799438477
26,gcn,256,0.05,0.7105263157894737,0.5818655616358707,0.6842105263157895,0.7857142857142856,1.30342435836792
27,gcn,256,0.1,0.7368421052631579,0.5946850588447169,0.6842105263157895,0.8064516129032258,1.202824592590332
28,gcn,256,0.25,0.7368421052631579,0.6000217889484606,0.6842105263157895,0.8064516129032258,1.1805365085601807
29,gcn,256,0.5,0.7368421052631579,0.5866929920096147,0.7105263157894737,0.8135593220338982,1.3445172309875488
30,sage,16,0.0,0.7105263157894737,0.6004846064667952,0.6842105263157895,0.8064516129032258,0.6607351303100586
31,sage,16,0.01,0.7368421052631579,0.5953198922307867,0.6842105263157895,0.793103448275862,0.7518184185028076
32,sage,16,0.05,0.7368421052631579,0.5883359344382035,0.6842105263157895,0.793103448275862,0.6966307163238525
33,sage,16,0.1,0.7368421052631579,0.5881626762841877,0.6578947368421053,0.7796610169491526,0.7920353412628174
34,sage,16,0.25,0.7368421052631579,0.588129649036809,0.6842105263157895,0.793103448275862,0.7156317234039307
35,sage,16,0.5,0.7368421052631579,0.6024028282416495,0.6842105263157895,0.793103448275862,0.6957747936248779
36,sage,32,0.0,0.8157894736842105,0.603028488786597,0.7631578947368421,0.8235294117647058,1.837322473526001
37,sage,32,0.01,0.8157894736842105,0.5996371319419459,0.7631578947368421,0.8235294117647058,1.7862558364868164
38,sage,32,0.05,0.7368421052631579,0.5938597509735509,0.7105263157894737,0.819672131147541,0.6030333042144775
39,sage,32,0.1,0.7368421052631579,0.6009063846186588,0.6578947368421053,0.7796610169491526,0.7153267860412598
40,sage,32,0.25,0.7368421052631579,0.6059359249315763,0.6842105263157895,0.8064516129032258,0.6158130168914795
41,sage,32,0.5,0.7894736842105263,0.5949271760488811,0.7631578947368421,0.8235294117647058,1.385321855545044
42,sage,64,0.0,0.7105263157894737,0.5958567544033653,0.6842105263157895,0.8064516129032258,0.6496672630310059
43,sage,64,0.01,0.7894736842105263,0.5841902996364393,0.6578947368421053,0.7719298245614036,0.6522536277770996
44,sage,64,0.05,0.7368421052631579,0.5963117982211866,0.6578947368421053,0.7796610169491526,0.6265697479248047
45,sage,64,0.1,0.7894736842105263,0.6188279892268934,0.7631578947368421,0.8235294117647058,1.3936913013458252
46,sage,64,0.25,0.7368421052631579,0.5890312916354129,0.6842105263157895,0.793103448275862,0.6736602783203125
47,sage,64,0.5,0.7894736842105263,0.598051971510837,0.7368421052631579,0.8076923076923077,1.031118631362915
48,sage,128,0.0,0.7894736842105263,0.607475155278256,0.7105263157894737,0.7843137254901961,1.2946162223815918
49,sage,128,0.01,0.7894736842105263,0.6343345893056769,0.6842105263157895,0.7692307692307692,1.1695489883422852
50,sage,128,0.05,0.7894736842105263,0.6037089165888334,0.7368421052631579,0.8000000000000002,1.2550816535949707
51,sage,128,0.1,0.7894736842105263,0.5996099898689672,0.7631578947368421,0.8235294117647058,1.2211863994598389
52,sage,128,0.25,0.7894736842105263,0.600561007073051,0.7368421052631579,0.8000000000000002,1.4926385879516602
53,sage,128,0.5,0.8157894736842105,0.6065697701353776,0.7368421052631579,0.8000000000000002,2.0325589179992676
54,sage,256,0.0,0.7631578947368421,0.6227896809577942,0.6842105263157895,0.793103448275862,0.7218973636627197
55,sage,256,0.01,0.8157894736842105,0.6098644827541552,0.7368421052631579,0.8076923076923077,2.8369243144989014
56,sage,256,0.05,0.7894736842105263,0.5993958366544623,0.7631578947368421,0.8235294117647058,1.526289701461792
57,sage,256,0.1,0.7368421052631579,0.5903450658446864,0.6578947368421053,0.7796610169491526,1.050372838973999
58,sage,256,0.25,0.7894736842105263,0.6896683510981108,0.6842105263157895,0.7857142857142856,0.7909512519836426
59,sage,256,0.5,0.7894736842105263,0.6210644213776839,0.6842105263157895,0.7499999999999999,1.954725980758667
