Model,HiddenDim,Layers,Dropout,LR,ValAcc,ValPrec,ValRec,ValF1,TestAcc,TestPrec,TestRec,TestF1,RuntimeSec
GCN,32,2,0.0,0.001,0.6666666666666666,0.3333333333333333,0.5,0.4,0.75,0.375,0.5,0.42857142857142855,1.818361520767212
GCN,32,2,0.0,0.005,0.6666666666666666,0.3333333333333333,0.5,0.4,0.75,0.375,0.5,0.42857142857142855,1.8497633934020996
GCN,32,2,0.2,0.001,0.7222222222222222,0.8529411764705883,0.5833333333333334,0.5566502463054187,0.8,0.8947368421052632,0.6,0.6078431372549019,2.062610626220703
GCN,32,2,0.2,0.005,0.7222222222222222,0.8529411764705883,0.5833333333333334,0.5566502463054187,0.9,0.9411764705882353,0.8,0.84375,3.80682635307312
GCN,32,2,0.75,0.001,0.6666666666666666,0.3333333333333333,0.5,0.4,0.75,0.375,0.5,0.42857142857142855,2.4358468055725098
GCN,32,2,0.75,0.005,0.7222222222222222,0.8529411764705883,0.5833333333333334,0.5566502463054187,0.8,0.8947368421052632,0.6,0.6078431372549019,2.6657068729400635
GCN,32,3,0.0,0.001,0.6666666666666666,0.3333333333333333,0.5,0.4,0.75,0.375,0.5,0.42857142857142855,2.6872103214263916
GCN,32,3,0.0,0.005,0.6666666666666666,0.3333333333333333,0.5,0.4,0.75,0.375,0.5,0.42857142857142855,2.831922769546509
GCN,32,3,0.2,0.001,0.7222222222222222,0.8529411764705883,0.5833333333333334,0.5566502463054187,0.75,0.375,0.5,0.42857142857142855,3.1674766540527344
GCN,32,3,0.2,0.005,0.6666666666666666,0.3333333333333333,0.5,0.4,0.75,0.375,0.5,0.42857142857142855,3.1744956970214844
GCN,32,3,0.75,0.001,0.6666666666666666,0.3333333333333333,0.5,0.4,0.75,0.375,0.5,0.42857142857142855,2.9185585975646973
GCN,32,3,0.75,0.005,0.6666666666666666,0.3333333333333333,0.5,0.4,0.75,0.375,0.5,0.42857142857142855,3.560805559158325
GCN,32,4,0.0,0.001,0.6666666666666666,0.3333333333333333,0.5,0.4,0.75,0.375,0.5,0.42857142857142855,3.065824508666992
GCN,32,4,0.0,0.005,0.6666666666666666,0.3333333333333333,0.5,0.4,0.75,0.375,0.5,0.42857142857142855,3.078922748565674
GCN,32,4,0.2,0.001,0.7222222222222222,0.8529411764705883,0.5833333333333334,0.5566502463054187,0.8,0.8947368421052632,0.6,0.6078431372549019,3.4138753414154053
GCN,32,4,0.2,0.005,0.7222222222222222,0.8529411764705883,0.5833333333333334,0.5566502463054187,0.85,0.9166666666666667,0.7,0.7402597402597402,3.56044602394104
GCN,32,4,0.75,0.001,0.6666666666666666,0.3333333333333333,0.5,0.4,0.75,0.375,0.5,0.42857142857142855,3.712089776992798
GCN,32,4,0.75,0.005,0.6666666666666666,0.3333333333333333,0.5,0.4,0.75,0.375,0.5,0.42857142857142855,3.428424119949341
GCN,64,2,0.0,0.001,0.6666666666666666,0.3333333333333333,0.5,0.4,0.75,0.375,0.5,0.42857142857142855,2.505007028579712
GCN,64,2,0.0,0.005,0.6666666666666666,0.3333333333333333,0.5,0.4,0.75,0.375,0.5,0.42857142857142855,2.30867600440979
GCN,64,2,0.2,0.001,0.7222222222222222,0.8529411764705883,0.5833333333333334,0.5566502463054187,0.75,0.375,0.5,0.42857142857142855,2.797156810760498
GCN,64,2,0.2,0.005,0.6666666666666666,0.3333333333333333,0.5,0.4,0.75,0.375,0.5,0.42857142857142855,2.7582614421844482
