model,seed,hidden_dim,layers,dropout,lr,num_params,train_epochs,train_time_sec,val_inference_time_sec,test_inference_time_sec,val_accuracy,val_precision,val_recall,val_f1,val_auc,test_accuracy,test_precision,test_recall,test_f1,test_auc
GCN,0,32,2,0.0,0.001,1378,50,1.0395867824554443,0.004850149154663086,0.004144906997680664,0.7777777777777778,0.8823529411764706,0.6,0.6,0.8307692307692307,0.7,0.71875,0.6458333333333333,0.6428571428571428,0.875
GCN,0,32,2,0.0,0.005,1378,50,0.8908419609069824,0.001791238784790039,0.002023935317993164,0.8333333333333334,0.90625,0.7,0.7339901477832512,0.8923076923076924,0.7,0.6904761904761905,0.6666666666666667,0.6703296703296704,0.8645833333333334
GCN,0,32,2,0.2,0.001,1378,50,0.9042718410491943,0.002386331558227539,0.002231121063232422,0.8333333333333334,0.90625,0.7,0.7339901477832512,0.8307692307692307,0.8,0.8095238095238095,0.7708333333333333,0.7802197802197802,0.8645833333333333
GCN,0,32,2,0.2,0.005,1378,50,0.9108619689941406,0.0018320083618164062,0.0020270347595214844,0.8333333333333334,0.90625,0.7,0.7339901477832512,0.8923076923076924,0.75,0.7417582417582418,0.7291666666666667,0.7333333333333334,0.8645833333333334
GCN,0,32,2,0.75,0.001,1378,50,0.9127237796783447,0.001940011978149414,0.0019922256469726562,0.7222222222222222,0.3611111111111111,0.5,0.41935483870967744,0.8153846153846154,0.6,0.3,0.5,0.375,0.875
GCN,0,32,2,0.75,0.005,1378,50,0.9062519073486328,0.0017719268798828125,0.001950979232788086,0.8333333333333334,0.90625,0.7,0.7339901477832512,0.8769230769230769,0.75,0.7666666666666666,0.7083333333333333,0.7150997150997151,0.8645833333333333
GCN,0,32,3,0.0,0.001,2434,50,1.0119969844818115,0.002170085906982422,0.002341747283935547,0.8333333333333334,0.90625,0.7,0.7339901477832512,0.8923076923076924,0.7,0.6904761904761905,0.6666666666666667,0.6703296703296704,0.875
GCN,0,32,3,0.0,0.005,2434,50,1.0267970561981201,0.0021669864654541016,0.0024187564849853516,0.8888888888888888,0.9333333333333333,0.8,0.8392857142857143,0.8923076923076924,0.7,0.6904761904761905,0.6666666666666667,0.6703296703296704,0.8645833333333333
GCN,0,32,3,0.2,0.001,2434,50,1.1158242225646973,0.002070903778076172,0.0023679733276367188,0.8333333333333334,0.90625,0.7,0.7339901477832512,0.8307692307692307,0.8,0.8095238095238095,0.7708333333333333,0.7802197802197802,0.8854166666666666
GCN,0,32,3,0.2,0.005,2434,50,1.1160550117492676,0.0021409988403320312,0.00238800048828125,0.8333333333333334,0.90625,0.7,0.7339901477832512,0.8923076923076924,0.7,0.6904761904761905,0.6666666666666667,0.6703296703296704,0.8645833333333334
GCN,0,32,3,0.75,0.001,2434,50,1.1098551750183105,0.0021049976348876953,0.002252817153930664,0.7222222222222222,0.3611111111111111,0.5,0.41935483870967744,0.8307692307692307,0.6,0.3,0.5,0.375,0.875
GCN,0,32,3,0.75,0.005,2434,50,1.1150240898132324,0.002088785171508789,0.0022389888763427734,0.8333333333333334,0.90625,0.7,0.7339901477832512,0.8923076923076924,0.8,0.8095238095238095,0.7708333333333333,0.7802197802197802,0.875
GCN,0,32,4,0.0,0.001,3490,50,1.2012431621551514,0.0023801326751708984,0.0026907920837402344,0.8333333333333334,0.90625,0.7,0.7339901477832512,0.8461538461538461,0.8,0.8095238095238095,0.7708333333333333,0.7802197802197802,0.8854166666666666
