model,seed,hidden_dim,layers,dropout,lr,num_params,train_epochs,train_time_sec,val_inference_time_sec,test_inference_time_sec,val_accuracy,val_precision,val_recall,val_f1,val_auc,test_accuracy,test_precision,test_recall,test_f1,test_auc
GIN,2,32,2,0.0,0.001,3490,50,1.0076789855957031,0.002476930618286133,0.002622842788696289,0.5,0.43333333333333335,0.4625,0.4109090909090909,0.8250000000000001,0.75,0.6785714285714286,0.7,0.6865203761755485,0.7466666666666666
GIN,2,32,2,0.0,0.005,3490,50,1.063209056854248,0.0019838809967041016,0.001840829849243164,0.7222222222222222,0.7207792207792207,0.7125,0.7142857142857142,0.8250000000000001,0.65,0.65,0.7,0.6266666666666667,0.8133333333333334
GIN,2,32,2,0.2,0.001,3490,50,1.0167341232299805,0.0015139579772949219,0.001638174057006836,0.5555555555555556,0.5357142857142857,0.525,0.5,0.8250000000000001,0.75,0.6785714285714286,0.7,0.6865203761755485,0.7333333333333334
GIN,2,32,2,0.2,0.005,3490,50,0.970365047454834,0.0015468597412109375,0.002174854278564453,0.7222222222222222,0.7207792207792207,0.7125,0.7142857142857142,0.8250000000000001,0.65,0.65,0.7,0.6266666666666667,0.8
GIN,2,32,2,0.75,0.001,3490,50,0.9534211158752441,0.0018019676208496094,0.0022830963134765625,0.7222222222222222,0.7207792207792207,0.7125,0.7142857142857142,0.8000000000000002,0.75,0.6785714285714286,0.7,0.6865203761755485,0.8
GIN,2,32,2,0.75,0.005,3490,50,1.0222060680389404,0.0017888545989990234,0.0022840499877929688,0.7222222222222222,0.7207792207792207,0.7125,0.7142857142857142,0.8250000000000001,0.7,0.6767676767676767,0.7333333333333334,0.6703296703296704,0.8266666666666667
GIN,2,32,3,0.0,0.001,5602,50,1.107295036315918,0.0017926692962646484,0.001767873764038086,0.7222222222222222,0.7207792207792207,0.7125,0.7142857142857142,0.8375000000000001,0.7,0.6767676767676767,0.7333333333333334,0.6703296703296704,0.8133333333333334
GIN,2,32,3,0.0,0.005,5602,50,1.1312992572784424,0.0021119117736816406,0.0022881031036376953,0.8333333333333334,0.8333333333333333,0.8375,0.8328173374613003,0.875,0.7,0.7272727272727273,0.8,0.6875,0.8666666666666666
GIN,2,32,3,0.2,0.001,5602,50,1.2191009521484375,0.0021109580993652344,0.002377748489379883,0.7222222222222222,0.7207792207792207,0.7125,0.7142857142857142,0.8375000000000001,0.65,0.65,0.7,0.6266666666666667,0.8133333333333334
GIN,2,32,3,0.2,0.005,5602,50,1.2466139793395996,0.0016379356384277344,0.002465963363647461,0.7222222222222222,0.7207792207792207,0.7125,0.7142857142857142,0.85,0.75,0.7083333333333333,0.7666666666666666,0.7150997150997151,0.84
GIN,2,32,3,0.75,0.001,5602,50,1.215743064880371,0.0022661685943603516,0.0021169185638427734,0.7222222222222222,0.7207792207792207,0.7125,0.7142857142857142,0.8,0.6,0.6262626262626263,0.6666666666666667,0.5833333333333333,0.8266666666666667
