seed,support_ratio,model,feature_rank,feature_index,feature_name,class_label,pattern_support_count,importance,coefficient,graph
2,0.1,RandomForest,1,0,pattern_0_class0_supp50,0,50,0.04660456589292575,,"{""vertices"": [{""id"": 0, ""label"": 0}], ""edges"": []}"
2,0.1,RandomForest,2,400,pattern_400_class1_supp100,1,100,0.03419864849849005,,"{""vertices"": [{""id"": 0, ""label"": 0}], ""edges"": []}"
2,0.1,RandomForest,3,11,pattern_11_class0_supp43,0,43,0.020255166547861903,,"{""vertices"": [{""id"": 0, ""label"": 0}, {""id"": 1, ""label"": 0}, {""id"": 2, ""label"": 0}], ""edges"": [[0, 1, 0], [1, 2, 0]]}"
2,0.1,RandomForest,4,15,pattern_15_class0_supp43,0,43,0.018574090502576027,,"{""vertices"": [{""id"": 0, ""label"": 0}, {""id"": 1, ""label"": 0}, {""id"": 2, ""label"": 0}, {""id"": 3, ""label"": 0}, {""id"": 4, ""label"": 0}, {""id"": 5, ""label"": 0}], ""edges"": [[0, 1, 0], [0, 5, 0], [1, 2, 0], [2, 3, 0], [3, 4, 0], [4, 5, 0]]}"
2,0.1,RandomForest,5,10,pattern_10_class0_supp43,0,43,0.01803584722302806,,"{""vertices"": [{""id"": 0, ""label"": 0}, {""id"": 1, ""label"": 0}], ""edges"": [[0, 1, 0]]}"
2,0.1,RandomForest,6,473,pattern_473_class1_supp62,1,62,0.01786404061018918,,"{""vertices"": [{""id"": 0, ""label"": 0}, {""id"": 1, ""label"": 0}, {""id"": 2, ""label"": 0}, {""id"": 3, ""label"": 0}, {""id"": 4, ""label"": 0}, {""id"": 5, ""label"": 0}], ""edges"": [[0, 1, 0], [1, 2, 0], [2, 3, 0], [3, 4, 0], [3, 5, 1]]}"
2,0.1,RandomForest,7,411,pattern_411_class1_supp97,1,97,0.017461377369944023,,"{""vertices"": [{""id"": 0, ""label"": 0}, {""id"": 1, ""label"": 0}, {""id"": 2, ""label"": 0}], ""edges"": [[0, 1, 0], [1, 2, 0]]}"
2,0.1,RandomForest,8,66,pattern_66_class0_supp18,0,18,0.01691304603413837,,"{""vertices"": [{""id"": 0, ""label"": 0}, {""id"": 1, ""label"": 0}, {""id"": 2, ""label"": 0}, {""id"": 3, ""label"": 0}, {""id"": 4, ""label"": 0}, {""id"": 5, ""label"": 0}], ""edges"": [[0, 1, 0], [1, 2, 0], [2, 3, 0], [3, 4, 0], [4, 5, 1]]}"
2,0.1,RandomForest,9,410,pattern_410_class1_supp97,1,97,0.0162310870362768,,"{""vertices"": [{""id"": 0, ""label"": 0}, {""id"": 1, ""label"": 0}], ""edges"": [[0, 1, 0]]}"
2,0.1,RandomForest,10,403,pattern_403_class1_supp100,1,100,0.013978570361770675,,"{""vertices"": [{""id"": 0, ""label"": 0}, {""id"": 1, ""label"": 1}], ""edges"": [[0, 1, 1]]}"
2,0.2,RandomForest,1,0,pattern_0_class0_supp50,0,50,0.07267095220332294,,"{""vertices"": [{""id"": 0, ""label"": 0}], ""edges"": []}"
2,0.2,RandomForest,2,103,pattern_103_class1_supp100,1,100,0.06630452474463684,,"{""vertices"": [{""id"": 0, ""label"": 0}], ""edges"": []}"
2,0.2,RandomForest,3,10,pattern_10_class0_supp43,0,43,0.027636398189631314,,"{""vertices"": [{""id"": 0, ""label"": 0}, {""id"": 1, ""label"": 0}], ""edges"": [[0, 1, 0]]}"
2,0.2,RandomForest,4,11,pattern_11_class0_supp43,0,43,0.025505097058868796,,"{""vertices"": [{""id"": 0, ""label"": 0}, {""id"": 1, ""label"": 0}, {""id"": 2, ""label"": 0}], ""edges"": [[0, 1, 0], [1, 2, 0]]}"
2,0.2,RandomForest,5,168,pattern_168_class1_supp63,1,63,0.022824636030669924,,"{""vertices"": [{""id"": 0, ""label"": 0}, {""id"": 1, ""label"": 0}, {""id"": 2, ""label"": 0}, {""id"": 3, ""label"": 0}, {""id"": 4, ""label"": 0}], ""edges"": [[0, 1, 0], [1, 2, 0], [2, 3, 0], [3, 4, 1]]}"
