seed,support_ratio,model,feature_rank,feature_index,feature_name,class_label,pattern_support_count,importance,coefficient,graph
0,0.1,LinearSVM,1,0,pattern_0_class0_supp50,0,50,0.3550750637716846,-0.3550750637716846,"{""vertices"": [{""id"": 0, ""label"": 0}], ""edges"": []}"
0,0.1,LinearSVM,3,239,pattern_239_class0_supp9,0,9,0.3307040977880167,0.3307040977880167,"{""vertices"": [{""id"": 0, ""label"": 0}, {""id"": 1, ""label"": 0}, {""id"": 2, ""label"": 0}], ""edges"": [[0, 1, 1], [1, 2, 2]]}"
0,0.1,LinearSVM,4,1,pattern_1_class0_supp50,0,50,0.3223652922613002,0.3223652922613002,"{""vertices"": [{""id"": 0, ""label"": 1}], ""edges"": []}"
0,0.1,LinearSVM,6,238,pattern_238_class0_supp9,0,9,0.2766852955432556,0.2766852955432556,"{""vertices"": [{""id"": 0, ""label"": 0}, {""id"": 1, ""label"": 0}], ""edges"": [[0, 1, 2]]}"
0,0.1,LinearSVM,7,305,pattern_305_class0_supp8,0,8,0.2730075385549493,-0.2730075385549493,"{""vertices"": [{""id"": 0, ""label"": 0}, {""id"": 1, ""label"": 0}, {""id"": 2, ""label"": 0}, {""id"": 3, ""label"": 0}, {""id"": 4, ""label"": 0}], ""edges"": [[0, 1, 1], [1, 2, 1], [2, 3, 2], [3, 4, 1]]}"
0,0.1,LinearSVM,2,400,pattern_400_class1_supp100,1,100,0.3550750637716846,-0.3550750637716846,"{""vertices"": [{""id"": 0, ""label"": 0}], ""edges"": []}"
0,0.1,LinearSVM,5,401,pattern_401_class1_supp100,1,100,0.3223652922613002,0.3223652922613002,"{""vertices"": [{""id"": 0, ""label"": 1}], ""edges"": []}"
0,0.1,LinearSVM,12,402,pattern_402_class1_supp100,1,100,0.132676957635217,0.132676957635217,"{""vertices"": [{""id"": 0, ""label"": 2}], ""edges"": []}"
0,0.1,LinearSVM,14,403,pattern_403_class1_supp100,1,100,0.1230510326119771,-0.1230510326119771,"{""vertices"": [{""id"": 0, ""label"": 0}, {""id"": 1, ""label"": 1}], ""edges"": [[0, 1, 1]]}"
0,0.1,LinearSVM,16,410,pattern_410_class1_supp96,1,96,0.1112034810875218,0.1112034810875218,"{""vertices"": [{""id"": 0, ""label"": 0}, {""id"": 1, ""label"": 0}], ""edges"": [[0, 1, 0]]}"
0,0.1,RBFSVM,3,204,pattern_204_class0_supp9,0,9,0.0222222222222222,,"{""vertices"": [{""id"": 0, ""label"": 0}, {""id"": 1, ""label"": 0}, {""id"": 2, ""label"": 0}, {""id"": 3, ""label"": 0}, {""id"": 4, ""label"": 0}, {""id"": 5, ""label"": 0}, {""id"": 6, ""label"": 0}], ""edges"": [[0, 1, 0], [1, 2, 0], [2, 3, 0], [3, 4, 0], [4, 5, 0], [5, 6, 0]]}"
0,0.1,RBFSVM,4,205,pattern_205_class0_supp9,0,9,0.0222222222222222,,"{""vertices"": [{""id"": 0, ""label"": 0}, {""id"": 1, ""label"": 0}, {""id"": 2, ""label"": 0}, {""id"": 3, ""label"": 0}, {""id"": 4, ""label"": 0}, {""id"": 5, ""label"": 0}, {""id"": 6, ""label"": 0}, {""id"": 7, ""label"": 0}], ""edges"": [[0, 1, 0], [1, 2, 0], [2, 3, 0], [3, 4, 0], [4, 5, 0], [5, 6, 0], [6, 7, 0]]}"
0,0.1,RBFSVM,7,13,pattern_13_class0_supp43,0,43,0.0111111111111111,,"{""vertices"": [{""id"": 0, ""label"": 0}, {""id"": 1, ""label"": 0}, {""id"": 2, ""label"": 0}, {""id"": 3, ""label"": 0}, {""id"": 4, ""label"": 0}], ""edges"": [[0, 1, 0], [1, 2, 0], [2, 3, 0], [3, 4, 0]]}"
0,0.1,RBFSVM,8,206,pattern_206_class0_supp9,0,9,0.0111111111111111,,"{""vertices"": [{""id"": 0, ""label"": 0}, {""id"": 1, ""label"": 0}, {""id"": 2, ""label"": 0}, {""id"": 3, ""label"": 0}, {""id"": 4, ""label"": 0}, {""id"": 5, ""label"": 0}, {""id"": 6, ""label"": 0}, {""id"": 7, ""label"": 0}, {""id"": 8, ""label"": 0}], ""edges"": [[0, 1, 0], [1, 2, 0], [2, 3, 0], [3, 4, 0], [4, 5, 0], [5, 6, 0], [6, 7, 0], [7, 8, 0]]}"
