model,feature_name,class_label,mean_importance,appearances,seed_coverage,support_coverage
LinearSVM,pattern_0_class0_supp50,0,0.29565793054727213,6,2,3
LinearSVM,pattern_1_class0_supp50,0,0.28989956256922134,6,2,3
LinearSVM,pattern_10_class0_supp43,0,0.11689361094970004,5,2,3
LinearSVM,pattern_400_class1_supp100,1,0.3757975589161555,2,2,1
LinearSVM,pattern_401_class1_supp100,1,0.36966725145273027,2,2,1
LinearSVM,pattern_78_class1_supp100,1,0.2630854193468426,2,2,1
RBFSVM,pattern_13_class0_supp43,0,0.031746031746031696,7,2,4
RBFSVM,pattern_15_class0_supp43,0,0.031111111111111023,5,2,3
RBFSVM,pattern_12_class0_supp43,0,0.028888888888888797,5,2,3
RBFSVM,pattern_61_class1_supp100,1,0.0888888888888889,1,1,1
RBFSVM,pattern_62_class1_supp100,1,0.0888888888888889,1,1,1
RBFSVM,pattern_63_class1_supp99,1,0.0888888888888889,1,1,1
RandomForest,pattern_0_class0_supp50,0,0.08454110423631273,8,2,4
RandomForest,pattern_10_class0_supp43,0,0.026563783456200012,8,2,4
RandomForest,pattern_15_class0_supp43,0,0.02548214835779044,5,2,3
RandomForest,pattern_50_class1_supp100,1,0.13953971962185374,2,2,1
RandomForest,pattern_77_class1_supp100,1,0.07743936837692245,2,2,1
RandomForest,pattern_400_class1_supp100,1,0.032907226016040694,2,2,1
