model,params,num_params,train_time_sec,feature_dim,seed,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_inference_time_sec,test_accuracy,test_precision,test_recall,test_f1,test_auc,test_inference_time_sec,support_ratio
RandomForest,"{""n_estimators"": 100, ""max_depth"": null}",,0.1188390254974365,800,0,0.9444444444444444,0.9642857142857144,0.9,0.9259259259259258,0.953846153846154,0.0149898529052734,0.8,0.8095238095238095,0.7708333333333333,0.7802197802197802,0.9114583333333331,0.0144670009613037,0.1
RandomForest,"{""n_estimators"": 200, ""max_depth"": null}",,0.1790690422058105,800,0,0.9444444444444444,0.9642857142857144,0.9,0.9259259259259258,0.953846153846154,0.0149359703063964,0.8,0.8095238095238095,0.7708333333333333,0.7802197802197802,0.921875,0.0146181583404541,0.1
RandomForest,"{""n_estimators"": 100, ""max_depth"": 10}",,0.1087260246276855,800,0,0.9444444444444444,0.9642857142857144,0.9,0.9259259259259258,0.9384615384615383,0.0145938396453857,0.8,0.8095238095238095,0.7708333333333333,0.7802197802197802,0.9114583333333331,0.0140159130096435,0.1
RandomForest,"{""n_estimators"": 200, ""max_depth"": 20}",,0.1893219947814941,800,0,0.9444444444444444,0.9642857142857144,0.9,0.9259259259259258,0.953846153846154,0.0262389183044433,0.8,0.8095238095238095,0.7708333333333333,0.7802197802197802,0.921875,0.0144441127777099,0.1
LinearSVM,"{""type"": ""linear"", ""C"": 0.1}",800.0,0.1478660106658935,800,0,0.8333333333333334,0.7916666666666666,0.823076923076923,0.8036363636363637,0.9230769230769232,0.000248908996582,0.9,0.8958333333333333,0.8958333333333333,0.8958333333333333,0.9375,0.0001380443572998,0.1
LinearSVM,"{""type"": ""linear"", ""C"": 1.0}",800.0,0.1423242092132568,800,0,0.8333333333333334,0.8035714285714286,0.7615384615384615,0.7777777777777777,0.9692307692307692,0.0002181529998779,0.9,0.9285714285714286,0.875,0.8901098901098901,0.96875,0.0001008510589599,0.1
RBFSVM,"{""type"": ""rbf"", ""C"": 1.0, ""gamma"": ""scale""}",,0.0249891281127929,800,0,0.7777777777777778,0.8823529411764706,0.6,0.6,1.0,0.0012869834899902,0.9,0.8958333333333333,0.8958333333333333,0.8958333333333333,0.9270833333333331,0.0010881423950195,0.1
RBFSVM,"{""type"": ""rbf"", ""C"": 5.0, ""gamma"": ""scale""}",,0.0208010673522949,800,0,1.0,1.0,1.0,1.0,1.0,0.0008819103240966,0.8,0.8,0.8125,0.797979797979798,0.9375,0.0008399486541748,0.1
RandomForest,"{""n_estimators"": 100, ""max_depth"": null}",,0.1033892631530761,400,0,0.9444444444444444,0.9642857142857144,0.9,0.9259259259259258,0.9846153846153848,0.0140161514282226,0.8,0.8095238095238095,0.7708333333333333,0.7802197802197802,0.9114583333333334,0.013826847076416,0.2
RandomForest,"{""n_estimators"": 200, ""max_depth"": null}",,0.1894652843475341,400,0,0.9444444444444444,0.9642857142857144,0.9,0.9259259259259258,0.9846153846153848,0.0146729946136474,0.8,0.8095238095238095,0.7708333333333333,0.7802197802197802,0.921875,0.013848066329956,0.2
RandomForest,"{""n_estimators"": 100, ""max_depth"": 10}",,0.0922548770904541,400,0,0.9444444444444444,0.9642857142857144,0.9,0.9259259259259258,0.9846153846153848,0.0144422054290771,0.8,0.8095238095238095,0.7708333333333333,0.7802197802197802,0.90625,0.0143988132476806,0.2
RandomForest,"{""n_estimators"": 200, ""max_depth"": 20}",,0.2047739028930664,400,0,0.9444444444444444,0.9642857142857144,0.9,0.9259259259259258,0.9846153846153848,0.0256779193878173,0.8,0.8095238095238095,0.7708333333333333,0.7802197802197802,0.921875,0.0152630805969238,0.2
LinearSVM,"{""type"": ""linear"", ""C"": 0.1}",400.0,0.1458311080932617,400,0,1.0,1.0,1.0,1.0,1.0,0.0004987716674804,0.85,0.8516483516483516,0.8333333333333333,0.8400000000000001,0.921875,0.0001778602600097,0.2
LinearSVM,"{""type"": ""linear"", ""C"": 1.0}",400.0,0.1369771957397461,400,0,0.8333333333333334,0.8035714285714286,0.7615384615384615,0.7777777777777777,0.9230769230769232,0.0004899501800537,0.75,0.7666666666666666,0.7083333333333333,0.7150997150997151,0.9322916666666666,0.0001070499420166,0.2
RBFSVM,"{""type"": ""rbf"", ""C"": 1.0, ""gamma"": ""scale""}",,0.0287389755249023,400,0,0.8888888888888888,0.9333333333333332,0.8,0.8392857142857143,1.0,0.0044147968292236,0.9,0.8958333333333333,0.8958333333333333,0.8958333333333333,0.9322916666666666,0.0016608238220214,0.2
RBFSVM,"{""type"": ""rbf"", ""C"": 5.0, ""gamma"": ""scale""}",,0.0115740299224853,400,0,1.0,1.0,1.0,1.0,1.0,0.0005629062652587,0.8,0.8,0.8125,0.797979797979798,0.9427083333333331,0.0005030632019042,0.2
RandomForest,"{""n_estimators"": 100, ""max_depth"": null}",,0.2108359336853027,177,0,0.9444444444444444,0.9642857142857144,0.9,0.9259259259259258,1.0,0.0130341053009033,0.8,0.8095238095238095,0.7708333333333333,0.7802197802197802,0.8802083333333334,0.0147368907928466,0.3
RandomForest,"{""n_estimators"": 200, ""max_depth"": null}",,0.2052922248840332,177,0,0.9444444444444444,0.9642857142857144,0.9,0.9259259259259258,1.0,0.0251789093017578,0.8,0.8095238095238095,0.7708333333333333,0.7802197802197802,0.875,0.0258922576904296,0.3
RandomForest,"{""n_estimators"": 100, ""max_depth"": 10}",,0.099942922592163,177,0,0.9444444444444444,0.9642857142857144,0.9,0.9259259259259258,1.0,0.0136909484863281,0.8,0.8095238095238095,0.7708333333333333,0.7802197802197802,0.8697916666666667,0.0147042274475097,0.3
RandomForest,"{""n_estimators"": 200, ""max_depth"": 20}",,0.1897337436676025,177,0,0.9444444444444444,0.9642857142857144,0.9,0.9259259259259258,1.0,0.0267620086669921,0.8,0.8095238095238095,0.7708333333333333,0.7802197802197802,0.875,0.0269460678100585,0.3
LinearSVM,"{""type"": ""linear"", ""C"": 0.1}",177.0,0.1332800388336181,177,0,1.0,1.0,1.0,1.0,1.0,0.0001869201660156,0.85,0.8434343434343434,0.8541666666666667,0.8465473145780051,0.8958333333333334,8.392333984375e-05,0.3
LinearSVM,"{""type"": ""linear"", ""C"": 1.0}",177.0,0.1128289699554443,177,0,1.0,1.0,1.0,1.0,1.0,0.0001766681671142,0.85,0.8434343434343434,0.8541666666666667,0.8465473145780051,0.9270833333333331,8.296966552734375e-05,0.3
RBFSVM,"{""type"": ""rbf"", ""C"": 1.0, ""gamma"": ""scale""}",,0.0075199604034423,177,0,0.7777777777777778,0.8823529411764706,0.6,0.6,1.0,0.0004417896270751,0.9,0.8958333333333333,0.8958333333333333,0.8958333333333333,0.9375,0.0003819465637207,0.3
RBFSVM,"{""type"": ""rbf"", ""C"": 5.0, ""gamma"": ""scale""}",,0.0063621997833251,177,0,0.9444444444444444,0.9642857142857144,0.9,0.9259259259259258,1.0,0.0003612041473388,0.8,0.8,0.8125,0.797979797979798,0.9375,0.0003268718719482,0.3
RandomForest,"{""n_estimators"": 100, ""max_depth"": null}",,0.0978779792785644,100,0,0.9444444444444444,0.9642857142857144,0.9,0.9259259259259258,0.953846153846154,0.0139570236206054,0.8,0.8095238095238095,0.7708333333333333,0.7802197802197802,0.8489583333333333,0.013495922088623,0.4
RandomForest,"{""n_estimators"": 200, ""max_depth"": null}",,0.184316873550415,100,0,0.9444444444444444,0.9642857142857144,0.9,0.9259259259259258,0.9384615384615383,0.0144188404083251,0.8,0.8095238095238095,0.7708333333333333,0.7802197802197802,0.8541666666666666,0.0255119800567626,0.4
