model_type,hidden_channels,dropout,lr,seed,test_loss,test_acc,test_f1,test_roc_auc,train_time_sec
gcn,16,0.0,0.001,2,0.6856393155298734,0.7105263157894737,0.8135593220338982,0.72,-1765286764.459583
gcn,16,0.0,0.01,2,0.5935603317461515,0.6578947368421053,0.7868852459016393,0.7076923076923077,-1765286764.9844747
gcn,16,0.0,0.05,2,0.5889738264836764,0.6842105263157895,0.7999999999999999,0.6984615384615385,-1765286766.1481843
gcn,16,0.01,0.001,2,0.6682466707731548,0.6578947368421053,0.7936507936507937,0.6369230769230769,-1765286766.9177077
gcn,16,0.01,0.01,2,0.5914192795753479,0.6842105263157895,0.8064516129032258,0.6984615384615385,-1765286767.0262477
gcn,16,0.01,0.05,2,0.5868426843693382,0.6842105263157895,0.793103448275862,0.7076923076923077,-1765286768.3332093
gcn,16,0.05,0.001,2,0.6882194311995256,0.7368421052631579,0.8333333333333333,0.7076923076923077,-1765286768.9779334
gcn,16,0.05,0.01,2,0.5912739289434332,0.6578947368421053,0.7868852459016393,0.7046153846153846,-1765286769.1678789
gcn,16,0.05,0.05,2,0.5978168656951502,0.7105263157894737,0.819672131147541,0.7107692307692307,-1765286770.2122722
gcn,16,0.1,0.001,2,0.6891481405810306,0.6578947368421053,0.7936507936507937,0.29538461538461536,-1765286771.1779795
gcn,16,0.1,0.01,2,0.5891812380991484,0.6842105263157895,0.793103448275862,0.7138461538461538,-1765286771.4702682
gcn,16,0.1,0.05,2,0.6114556099239149,0.7105263157894737,0.8070175438596492,0.72,-1765286772.1794047
gcn,16,0.25,0.001,2,0.6884830531321073,0.6842105263157895,0.7692307692307692,0.6738461538461539,-1765286773.6441195
gcn,16,0.25,0.01,2,0.5890907990305048,0.6842105263157895,0.7999999999999999,0.7169230769230769,-1765286774.0526187
gcn,16,0.25,0.05,2,0.6017304909856696,0.6842105263157895,0.8064516129032258,0.7169230769230769,-1765286775.141718
gcn,16,0.5,0.001,2,0.6905424500766554,0.6578947368421053,0.7936507936507937,0.4707692307692308,-1765286775.8699749
gcn,16,0.5,0.01,2,0.6168119468187031,0.7105263157894737,0.8070175438596492,0.7076923076923077,-1765286775.75214
gcn,16,0.5,0.05,2,0.5925501239927191,0.6842105263157895,0.793103448275862,0.7015384615384614,-1765286777.423111
gcn,32,0.0,0.001,2,0.6904441431949013,0.6578947368421053,0.7234042553191491,0.6984615384615384,-1765286777.901868
gcn,32,0.0,0.01,2,0.5964953334707963,0.6578947368421053,0.7868852459016393,0.7107692307692308,-1765286778.4867306
gcn,32,0.0,0.05,2,0.5872687540556255,0.6578947368421053,0.7868852459016393,0.7015384615384616,-1765286779.2915578
gcn,32,0.01,0.001,2,0.6515365117474606,0.6578947368421053,0.7936507936507937,0.6984615384615385,-1765286780.00561
gcn,32,0.01,0.01,2,0.5929667855563917,0.6842105263157895,0.8064516129032258,0.7076923076923077,-1765286780.2592323
gcn,32,0.01,0.05,2,0.6545268642274957,0.6578947368421053,0.7936507936507937,0.7107692307692307,-1765286781.2756312
gcn,32,0.05,0.001,2,0.6834553040956196,0.6578947368421053,0.7936507936507937,0.7076923076923076,-1765286781.7320032
gcn,32,0.05,0.01,2,0.5864468907055101,0.6842105263157895,0.7999999999999999,0.7169230769230769,-1765286782.273176
gcn,32,0.05,0.05,2,0.6350956025876497,0.6578947368421053,0.7868852459016393,0.7076923076923077,-1765286783.1835995
gcn,32,0.1,0.001,2,0.6874760608924063,0.7368421052631579,0.8148148148148148,0.6984615384615385,-1765286783.875636
gcn,32,0.1,0.01,2,0.5999598346258465,0.6842105263157895,0.8064516129032258,0.7046153846153845,-1765286784.2845201
gcn,32,0.1,0.05,2,0.5896875826936019,0.6842105263157895,0.7999999999999999,0.7169230769230769,-1765286784.9098115
gcn,32,0.25,0.001,2,0.6913957470341733,0.6578947368421053,0.7936507936507937,0.3046153846153846,-1765286785.6642556
gcn,32,0.25,0.01,2,0.5890244371012637,0.6578947368421053,0.7796610169491526,0.7107692307692308,-1765286786.0143878
gcn,32,0.25,0.05,2,0.5840659894441304,0.7631578947368421,0.8235294117647058,0.716923076923077,-1765286786.6422987
gcn,32,0.5,0.001,2,0.6888889764484606,0.7105263157894737,0.7755102040816326,0.6953846153846154,-1765286788.130945
gcn,32,0.5,0.01,2,0.5812734553688451,0.7105263157894737,0.8070175438596492,0.7107692307692308,-1765286788.3091037
gcn,32,0.5,0.05,2,0.68390060725965,0.6842105263157895,0.7857142857142856,0.7107692307692308,-1765286789.168705
gcn,64,0.0,0.001,2,0.6908683776855469,0.6578947368421053,0.7936507936507937,0.7153846153846154,-1765286790.067925
gcn,64,0.0,0.01,2,0.5929875938515914,0.7631578947368421,0.8235294117647058,0.7138461538461538,-1765286790.0773973
gcn,64,0.0,0.05,2,0.5938725973430433,0.7105263157894737,0.8135593220338982,0.7107692307692307,-1765286791.508938
gcn,64,0.01,0.001,2,0.6772757674518385,0.6578947368421053,0.7936507936507937,0.7169230769230769,-1765286792.2035556
gcn,64,0.01,0.01,2,0.5778455357802542,0.7105263157894737,0.8070175438596492,0.7138461538461538,-1765286792.4619446
gcn,64,0.01,0.05,2,0.5809005153806586,0.7631578947368421,0.8235294117647058,0.7076923076923077,-1765286793.1834257
gcn,64,0.05,0.001,2,0.6900789392621893,0.6842105263157895,0.7499999999999999,0.683076923076923,-1765286794.4862437
gcn,64,0.05,0.01,2,0.5825585973890204,0.6842105263157895,0.7857142857142856,0.7138461538461538,-1765286794.780551
gcn,64,0.05,0.05,2,0.5994048244074771,0.7631578947368421,0.8235294117647058,0.7138461538461538,-1765286795.5854735
